schema	ds4_v100_sustained_decode.v1
model	/models/DSv4-Flash-256e-fixed.gguf
pack_index	docs/sprints/drafts/SPRINT-003-PACK-INDEX.tsv
expected_token_hex	3136
tokens_per_request	16
requests_per_case	4
warmup_requests	1
profile_decode	0
wavefront_decode	0
async_pipeline_decode	1
async_pipeline_mode	per-step
async_handoff	0
mtp_serving	off
mtp_top_k	5

ctx	slots	policy	mtp_serving	status_200	status_other	errors	token_match	token_mismatch	latency_avg_ms	latency_p50_ms	latency_p95_ms	latency_p99_ms	elapsed_s	aggregate_generated_tokens_per_second	aggregate_continuation_tokens_per_second	avg_continuation_response_tokens_per_second	avg_gpu_util_percent	max_gpu_util_percent	mtp_attempted	mtp_accepted	mtp_rejected	mtp_committed	mtp_draft_ms_avg	mtp_draft_ms_total	avg_async_total_ms	avg_async_setup_ms	avg_async_host_wait_ms	avg_async_complete_ms	avg_async_wait_prev_sum_ms	avg_async_handoff_sum_ms	avg_async_device_sync_sum_ms
1048576	4	sequential	off	4	0	0	4	0	7425.525	7425.486	7426.115	7426.177	7.427316	8.616841	8.078288	4.793115	18.269	40.000	0	0	0	0	0.000	0.000	7279.179	26.334	7246.888	5.925	19654.248	259.135	7.991
